,dt,temperature,humidity
201,2023-05-24 19:56:40.365361+02:00,19.1,48.9
202,2023-05-24 19:57:40.374818+02:00,19.2,48.9
203,2023-05-24 19:58:40.565523+02:00,19.2,49.1
204,2023-05-24 19:59:40.498108+02:00,19.2,50.0
205,2023-05-24 20:00:40.634747+02:00,19.2,50.1
206,2023-05-24 20:01:40.582438+02:00,19.2,49.7
207,2023-05-24 20:02:40.732987+02:00,19.2,49.7
208,2023-05-24 20:03:40.751113+02:00,19.2,49.7
209,2023-05-24 20:04:40.854398+02:00,19.1,49.9
210,2023-05-24 20:05:40.819717+02:00,19.1,50.4
211,2023-05-25 15:39:34.599053+02:00,19.8,55.0
212,2023-05-25 15:40:34.603592+02:00,18.8,57.8
213,2023-05-25 15:41:34.574051+02:00,18.2,60.0
214,2023-05-25 15:42:34.709830+02:00,17.8,61.5
215,2023-05-25 15:43:34.720768+02:00,17.5,62.4
216,2023-05-25 15:44:34.827480+02:00,17.4,63.1
217,2023-05-25 15:45:34.818498+02:00,17.3,63.5
218,2023-05-25 15:46:34.928820+02:00,17.3,63.8
219,2023-05-25 15:47:34.847751+02:00,17.2,63.8
220,2023-05-25 15:48:34.958192+02:00,17.2,63.9
221,2023-05-25 15:49:34.959443+02:00,17.2,64.1
222,2023-05-25 15:50:35.070986+02:00,17.2,64.2
223,2023-05-25 15:51:35.077047+02:00,17.1,64.2
224,2023-05-25 15:52:35.197255+02:00,17.1,64.4
225,2023-05-25 15:53:35.200011+02:00,17.1,64.4
226,2023-05-25 15:54:35.202194+02:00,17.1,64.3
227,2023-05-25 15:55:35.277662+02:00,17.1,64.5
228,2023-05-25 15:56:35.262556+02:00,17.1,65.2
229,2023-05-25 15:57:35.306813+02:00,17.1,65.7
230,2023-05-25 15:58:35.379222+02:00,17.1,66.4
231,2023-05-25 15:59:35.406226+02:00,17.1,67.1
232,2023-05-25 16:00:35.481717+02:00,17.1,67.8
233,2023-05-25 16:01:35.549014+02:00,17.1,68.4
234,2023-05-25 16:02:35.568082+02:00,17.1,69.0
235,2023-05-25 16:03:35.656165+02:00,17.1,69.6
236,2023-05-25 16:04:35.776391+02:00,17.0,70.2
237,2023-05-25 16:05:35.786151+02:00,17.0,70.8
238,2023-05-25 16:06:35.890778+02:00,17.0,71.2
239,2023-05-25 16:07:35.841022+02:00,17.0,71.8
240,2023-05-25 16:08:35.917384+02:00,17.0,72.4
241,2023-05-25 16:09:35.918859+02:00,17.0,72.9
242,2023-05-25 16:10:35.973969+02:00,17.0,73.4
243,2023-05-25 16:11:36.032422+02:00,17.0,73.8
244,2023-05-25 16:12:36.159457+02:00,17.0,74.3
245,2023-05-25 16:13:36.147631+02:00,17.0,74.8
246,2023-05-25 16:14:36.293714+02:00,17.0,75.2
247,2023-05-25 16:15:36.265154+02:00,17.0,75.7
248,2023-05-25 16:16:36.270044+02:00,17.0,76.2
249,2023-05-25 16:17:36.358193+02:00,17.0,76.6
250,2023-05-25 16:18:36.463712+02:00,17.0,76.9
251,2023-05-25 16:19:36.497098+02:00,17.0,77.4
252,2023-05-25 16:20:36.588112+02:00,17.0,77.8
253,2023-05-25 16:21:36.632569+02:00,17.0,78.0
254,2023-05-25 16:22:36.602440+02:00,17.0,77.5
255,2023-05-25 16:23:36.743901+02:00,16.9,74.2
256,2023-05-25 16:24:36.809303+02:00,16.9,71.7
257,2023-05-25 16:25:36.779090+02:00,16.9,70.0
258,2023-05-25 16:26:36.852267+02:00,16.9,68.7
259,2023-05-25 16:27:36.921897+02:00,16.8,67.8
260,2023-05-25 16:28:36.981098+02:00,16.9,67.4
261,2023-05-25 16:29:37.120694+02:00,16.8,67.0
262,2023-05-25 16:30:37.103008+02:00,16.8,66.6
263,2023-05-25 16:31:37.246423+02:00,16.8,66.4
